TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,East_Bay,5,PITTSBURGH_1-4,51,5,54.67,54.67,54.67,54.67
Arrow,1,East_Bay,5,PITTSBURGH_5-6,52,5,58.82,58.82,58.82,58.82
Arrow,1,East_Bay,5,PITTSBURG_7,53,5,61.10,61.10,61.10,61.10
Arrow,1,East_Bay,5,CONTRA_COSTA_4-5,54,5,86.84,86.84,86.84,86.84
Arrow,1,East_Bay,5,CONTRA_COSTA_6-7,55,5,89.12,89.12,89.12,89.12
Arrow,1,East_Bay,5,POTRERO_HILL,56,5,104.27,104.27,104.27,104.27
Becker,2,Low_Fossil,7,HUMBOLDT,71,5,74.94,74.94,74.94,74.94
Becker,2,Low_Fossil,7,HELMS,72,5,0.50,0.50,0.50,0.50
Becker,2,Low_Fossil,7,HUNTERS_POINT_1-2,73,5,77.17,77.17,77.17,77.17
Becker,2,Low_Fossil,7,HUNTERS_POINT_4,74,5,119.89,119.89,119.89,119.89
Becker,2,Low_Fossil,7,DIABLO_CANYON_1,75,5,11.50,11.50,11.50,11.50
Coase,3,Beachfront,4,COOLWATER,41,5,49.74,49.74,49.74,49.74
Coase,3,Beachfront,4,ETIWANDA_1-4,42,5,50.02,50.02,50.02,50.02
Coase,3,Beachfront,4,ETIWANDA_5,43,5,73.69,73.69,73.69,73.69
Coase,3,Beachfront,4,ELLWOOD,44,5,88.96,88.96,88.96,88.96
Coase,3,Beachfront,4,MANDALAY_1-2,45,5,45.66,45.66,45.66,45.66
Coase,3,Beachfront,4,MANDALAY_3,46,5,61.06,61.06,61.06,61.06
Coase,3,Beachfront,4,ORMOND_BEACH_1,47,5,44.66,44.66,44.66,44.66
Coase,3,Beachfront,4,ORMOND_BEACH_2,48,5,44.66,44.66,44.66,44.66
Debreu,4,Big_Gas,2,EL_SEGUNDO_1-2,21,5,57.58,57.58,57.58,57.58
Debreu,4,Big_Gas,2,EL_SEGUNDO_3-4,22,5,52.97,52.97,52.97,52.97
Debreu,4,Big_Gas,2,LONG_BEACH,23,5,67.75,67.75,67.75,67.75
Debreu,4,Big_Gas,2,NORTH_ISLAND,24,5,84.75,84.75,84.75,84.75
Debreu,4,Big_Gas,2,ENCINA,25,5,53.92,53.92,53.92,53.92
Debreu,4,Big_Gas,2,KEARNY,26,5,116.56,116.56,116.56,116.56
Debreu,4,Big_Gas,2,SOUTH_BAY,27,5,56.58,56.58,56.58,56.58
Friedman,5,Big_Coal,1,Four Corners,11,5,60.71,60.71,59.53,60.71
Friedman,5,Big_Coal,1,ALAMITOS_7,12,5,92.43,92.43,92.43,92.43
