TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,East_Bay,5,PITTSBURGH_1-4,51,3,41.21,41.21,499.97,41.21
Arrow,1,East_Bay,5,PITTSBURGH_5-6,52,3,38.05,38.05,499.95,38.05
Arrow,1,East_Bay,5,PITTSBURG_7,53,3,60.00,60.00,499.99,60.00
Arrow,1,East_Bay,5,CONTRA_COSTA_4-5,54,3,59.00,59.00,499.98,59.00
Arrow,1,East_Bay,5,CONTRA_COSTA_6-7,55,3,40.49,40.49,499.96,40.49
Arrow,1,East_Bay,5,POTRERO_HILL,56,3,69.83,69.83,500.00,69.83
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,3,44.83,100.00,500.00,200.00
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,3,41.22,99.99,500.00,41.22
Becker,2,Big_Gas,2,LONG_BEACH,23,3,52.50,100.00,500.00,200.00
Becker,2,Big_Gas,2,NORTH_ISLAND,24,3,65.50,100.00,65.50,200.00
Becker,2,Big_Gas,2,ENCINA,25,3,41.67,41.67,499.99,41.67
Becker,2,Big_Gas,2,KEARNY,26,3,90.06,100.00,500.00,200.00
Becker,2,Big_Gas,2,SOUTH_BAY,27,3,43.83,100.00,43.83,199.99
Coase,3,Beachfront,4,COOLWATER,41,3,42.90,43.60,42.39,43.80
Coase,3,Beachfront,4,ETIWANDA_1-4,42,3,43.00,43.55,42.67,43.82
Coase,3,Beachfront,4,ETIWANDA_5,43,3,100.00,100.70,62.89,62.89
Coase,3,Beachfront,4,ELLWOOD,44,3,200.00,109.00,200.90,90.09
Coase,3,Beachfront,4,MANDALAY_1-2,45,3,39.06,39.06,39.06,39.06
Coase,3,Beachfront,4,MANDALAY_3,46,3,53.00,52.06,52.06,52.06
Coase,3,Beachfront,4,ORMOND_BEACH_1,47,3,38.06,38.06,38.06,38.06
Coase,3,Beachfront,4,ORMOND_BEACH_2,48,3,38.06,38.06,38.06,38.06
Debreu,4,Low_Fossil,7,HUMBOLDT,71,3,47.44,47.44,47.44,47.44
Debreu,4,Low_Fossil,7,HELMS,72,3,0.50,0.50,0.50,0.50
Debreu,4,Low_Fossil,7,HUNTERS_POINT_1-2,73,3,49.17,49.17,49.17,49.17
Debreu,4,Low_Fossil,7,HUNTERS_POINT_4,74,3,75.89,75.89,75.89,75.89
Debreu,4,Low_Fossil,7,DIABLO_CANYON_1,75,3,11.50,11.50,11.50,11.50
Friedman,5,Old_Timers,6,BIG_CREEK,61,3,0.00,0.00,0.00,0.00
Friedman,5,Old_Timers,6,MOHAVE_1,62,3,34.50,34.50,34.50,34.50
Friedman,5,Old_Timers,6,MOHAVE_2,63,3,34.50,34.50,34.50,34.50
Friedman,5,Old_Timers,6,HIGHGROVE,64,3,41.93,42.66,49.61,42.38
Friedman,5,Old_Timers,6,SAN_BERNARDINO,65,3,41.93,42.66,53.94,42.38
