TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Old_Timers,6,BIG_CREEK,61,6,5.00,5.00,5.00,5.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,6,49.54,49.54,49.54,49.54
Arrow,1,Old_Timers,6,MOHAVE_2,63,6,49.54,49.54,49.54,49.54
Arrow,1,Old_Timers,6,HIGHGROVE,64,6,58.89,58.89,58.89,58.89
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,6,64.02,64.02,64.02,64.02
Becker,2,Beachfront,4,COOLWATER,41,6,115.89,115.89,115.89,115.89
Becker,2,Beachfront,4,ETIWANDA_1-4,42,6,116.17,116.17,116.17,116.17
Becker,2,Beachfront,4,ETIWANDA_5,43,6,170.89,170.89,170.89,170.89
Becker,2,Beachfront,4,ELLWOOD,44,6,209.11,209.11,209.11,209.11
Becker,2,Beachfront,4,MANDALAY_1-2,45,6,105.06,105.06,105.06,105.06
Becker,2,Beachfront,4,MANDALAY_3,46,6,142.06,142.06,142.06,142.06
Becker,2,Beachfront,4,ORMOND_BEACH_1,47,6,104.06,104.06,104.06,104.06
Becker,2,Beachfront,4,ORMOND_BEACH_2,48,6,104.06,104.06,104.06,104.06
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,6,106.28,106.28,106.28,106.28
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,6,101.11,101.11,101.11,101.11
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,6,88.06,88.06,88.06,88.06
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,6,88.07,88.07,88.07,88.07
Coase,3,Bay_Views,3,OAKLAND,35,6,169.17,169.17,169.17,169.17
Debreu,4,Big_Coal,1,Four Corners,11,6,42.00,45.00,60.00,42.00
Debreu,4,Big_Coal,1,ALAMITOS_7,12,6,75.00,75.00,75.00,75.00
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,6,46.00,48.00,65.00,44.00
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,6,70.00,70.00,70.00,70.00
Debreu,4,Big_Coal,1,REDONDO_5-6,15,6,43.00,56.00,70.00,46.00
Debreu,4,Big_Coal,1,REDONDO_7-8,16,6,44.00,50.00,68.00,47.50
Friedman,5,Big_Gas,2,EL_SEGUNDO_1-2,21,6,151.33,129.93,175.48,151.33
Friedman,5,Big_Gas,2,EL_SEGUNDO_3-4,22,6,141.72,111.72,111.72,141.72
Friedman,5,Big_Gas,2,LONG_BEACH,23,6,174.00,144.00,175.49,174.00
Friedman,5,Big_Gas,2,NORTH_ISLAND,24,6,211.00,181.00,181.00,211.00
Friedman,5,Big_Gas,2,ENCINA,25,6,145.17,129.92,115.17,145.17
Friedman,5,Big_Gas,2,KEARNY,26,6,279.06,249.06,249.06,279.06
Friedman,5,Big_Gas,2,SOUTH_BAY,27,6,150.33,129.93,175.47,150.33
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,6,112.94,112.94,112.94,112.94
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,6,101.11,101.11,101.11,101.11
Heckman,6,East_Bay,5,PITTSBURG_7,53,6,164.72,164.72,164.72,164.72
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,6,160.28,160.28,160.28,160.28
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,6,108.50,108.50,108.50,108.50
Heckman,6,East_Bay,5,POTRERO_HILL,56,6,192.83,192.83,192.83,192.83
Krugman,7,Low_Fossil,7,HUMBOLDT,71,6,102.44,102.44,102.44,102.44
Krugman,7,Low_Fossil,7,HELMS,72,6,0.50,0.50,0.50,0.50
Krugman,7,Low_Fossil,7,HUNTERS_POINT_1-2,73,6,105.17,105.17,105.17,105.17
