round,hour,load
0,1,12006.72
0,2,16092.16
0,3,19216.46
0,4,13754.44
1,1,10937.29
1,2,17254.32
1,3,18328.87
1,4,16709.47
2,1,12690.37
2,2,15761.73
2,3,18455.64
2,4,15035.97
3,1,14630.58
3,2,16741.81667
3,3,19020.48214
3,4,16114.46
4,1,11962.33
4,2,16416.63
4,3,19220.56
4,4,14228.17
5,1,14481.02
5,2,16619.41
5,3,17449.77
5,4,15546.1
6,1,12200
6,2,16000
6,3,19500
6,4,15000
